name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kathmandu,2021-08-18,27,21,23.4,29.3,21,23.7,21.6,90.2,5.1,100,4.17,rain,0,0,,13,206.4,1011.9,89.3,6.3,176,15.1,6,,2021-08-18T05:35:39,2021-08-18T18:39:09,0.35,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-08-19,27,20,23.2,29.7,20,23.4,21.2,89,18,100,4.17,rain,0,0,,16.6,193.9,1011.5,89.3,7.3,226.4,19.7,7,,2021-08-19T05:36:09,2021-08-19T18:38:11,0.38,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-08-20,26,21,23,26,21,23,21.1,89.3,0,0,0,,0,0,,20.5,182.3,1014.3,89.3,7.7,251.6,21.7,8,,2021-08-20T05:36:39,2021-08-20T18:37:13,0.42,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2021-08-21,26,21,23.2,26,21,23.2,21.2,89,0.1,100,4.17,rain,0,0,,16.6,219.4,1016.3,89.3,7.3,198.4,17.1,7,,2021-08-21T05:37:09,2021-08-21T18:36:14,0.46,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-08-22,28.9,21,23.7,35.4,21,24,21.7,89.2,3,100,4.17,rain,0,0,,16.2,260.9,1014.2,86.2,6.7,238.2,20.6,8,,2021-08-22T05:37:38,2021-08-22T18:35:14,0.5,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-08-23,24,20,21.9,24,20,21.9,21.3,96.6,24.9,100,8.33,rain,0,0,,13,232,1012.2,89.3,5.7,168.3,14.7,7,,2021-08-23T05:38:08,2021-08-23T18:34:13,0.52,"Rain, Partially cloudy","Partly cloudy throughout the day with rain in the morning and afternoon.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-08-24,26,21,22.9,26,21,22.9,21.5,92,1.1,100,4.17,rain,0,0,,13,264.7,1010.6,86.1,6.6,110.9,9.4,4,,2021-08-24T05:38:37,2021-08-24T18:33:12,0.56,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-08-25,27,21,23.3,29.2,21,23.4,21.8,91.6,7,100,4.17,rain,0,0,,13,254,1008.1,89.9,6.9,167.7,14.4,7,,2021-08-25T05:39:06,2021-08-25T18:32:10,0.59,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-08-26,25,21,23,25,21,23,21.7,92.7,1.3,100,4.17,rain,0,0,,14.8,134.4,1007.7,89.3,7,156.2,13.3,5,,2021-08-26T05:39:35,2021-08-26T18:31:07,0.62,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-08-27,24.8,19,21.4,24.8,19,21.4,20.4,94.2,41.7,100,8.33,rain,0,0,,9.4,138.8,1012,89.6,5.8,82.9,7.1,3,,2021-08-27T05:40:04,2021-08-27T18:30:04,0.65,"Rain, Partially cloudy","Partly cloudy throughout the day with rain in the morning and afternoon.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-08-28,25,20,21.5,25,20,21.5,21,96.1,14,100,8.33,rain,0,0,,20.5,199,1011.3,91.1,6.5,114.8,10,4,,2021-08-28T05:40:32,2021-08-28T18:29:00,0.69,"Rain, Overcast","Cloudy skies throughout the day with rain in the morning and afternoon.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-08-29,24.4,19,20.6,24.4,19,20.6,20.3,98.6,25.2,100,8.33,rain,0,0,,13,87.6,1013.2,89,6.4,189.5,16.5,7,,2021-08-29T05:41:01,2021-08-29T18:27:56,0.72,"Rain, Partially cloudy","Partly cloudy throughout the day with rain in the morning and afternoon.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-08-30,28,20,22,30.2,20,22.1,20.7,92.9,7.8,100,4.17,rain,0,0,,9.4,214.2,1015.8,90.6,6.8,145.3,12.5,5,,2021-08-30T05:41:29,2021-08-30T18:26:51,0.75,"Rain, Overcast","Cloudy skies throughout the day with afternoon rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-08-31,28,20,22.9,30.7,20,23.3,20.7,88.5,24,100,8.33,rain,0,0,,13,142.4,1017.1,79.5,7.5,191.4,16.5,6,,2021-08-31T05:41:57,2021-08-31T18:25:46,0.78,"Rain, Partially cloudy","Partly cloudy throughout the day with rain in the morning and afternoon.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-09-01,29,20,23.9,32,20,24.4,21.2,86.1,0,0,0,,0,0,,18.4,259.2,1015.7,68.5,7.3,214.4,18.6,7,,2021-09-01T05:42:26,2021-09-01T18:24:40,0.81,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-09-02,29,20,23.4,30.8,20,23.7,20.9,86.8,4,100,4.17,rain,0,0,,16.5,231.3,1014.1,86.7,7,181.8,15.7,7,,2021-09-02T05:42:54,2021-09-02T18:23:34,0.85,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-09-03,26,21,22.6,26,21,22.6,20.8,89.9,5.6,100,8.33,rain,0,0,,14.8,264.3,1013.2,72.9,7.3,183.3,15.9,7,,2021-09-03T05:43:21,2021-09-03T18:22:27,0.88,"Rain, Partially cloudy","Partly cloudy throughout the day with rain in the morning and afternoon.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-09-04,28,20,24.2,29.7,20,24.6,20.6,82.2,0,0,0,,0,0,,16.6,280.1,1011.7,56.1,7.9,216.9,18.6,8,,2021-09-04T05:43:49,2021-09-04T18:21:20,0.91,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-09-05,29,21,24.8,31.4,21,25.4,21.3,82.9,12,100,4.17,rain,0,0,,16.6,268.6,1012.2,64.7,7.2,219.2,18.9,8,,2021-09-05T05:44:17,2021-09-05T18:20:12,0.94,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-09-06,29,19,22.6,30.8,19,22.9,20.9,90.9,122.1,100,8.33,rain,0,0,,18.3,198.8,1015.4,89,6.4,112.5,9.7,5,,2021-09-06T05:44:44,2021-09-06T18:19:04,0.98,"Rain, Partially cloudy","Partly cloudy throughout the day with rain in the morning and afternoon.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-09-07,28.9,20,23,34.3,20,23.7,21.3,91,12.1,100,8.33,rain,0,0,,16.6,49.2,1016.5,88.9,7.1,205.5,17.6,7,,2021-09-07T05:45:12,2021-09-07T18:17:56,0,"Rain, Partially cloudy","Partly cloudy throughout the day with rain in the morning and afternoon.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-09-08,28,20,22.8,30.2,20,23.1,20.8,89.1,35,100,8.33,rain,0,0,,13,167.1,1015.5,79.6,7.3,234.4,20.2,8,,2021-09-08T05:45:39,2021-09-08T18:16:47,0.04,"Rain, Partially cloudy","Partly cloudy throughout the day with rain in the morning and afternoon.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-09-09,25,20,21.8,25,20,21.8,20.7,93.8,0,0,0,,0,0,,7.6,103.3,1014.5,86,6.9,133.9,11.6,5,,2021-09-09T05:46:07,2021-09-09T18:15:38,0.08,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2021-09-10,28,20,22.9,30.1,20,23.1,20.7,88.1,0.5,100,4.17,rain,0,0,,18.4,143.6,1014.8,72.7,7.4,166.8,14.5,6,,2021-09-10T05:46:34,2021-09-10T18:14:29,0.12,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-09-11,30,20,24,33.3,20,24.4,20.9,84,0,0,0,,0,0,,18.4,175.7,1014.3,81.1,7.8,132.9,11.5,4,,2021-09-11T05:47:02,2021-09-11T18:13:20,0.15,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2021-09-12,30,21,24.4,32.6,21,24.8,20.9,82.5,0.4,100,4.17,rain,0,0,,20.5,195,1011.4,66.3,7.9,209.8,18.2,7,,2021-09-12T05:47:29,2021-09-12T18:12:10,0.19,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-09-13,28,20,23.1,30.1,20,23.4,20.6,87.2,13.3,100,8.33,rain,0,0,,18.4,77.8,1012,61.8,7.5,164,14.2,7,,2021-09-13T05:47:56,2021-09-13T18:11:01,0.22,"Rain, Partially cloudy","Partly cloudy throughout the day with rain in the morning and afternoon.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-09-14,29,21,23.8,30.3,21,24.2,20.7,83.7,0,0,0,,0,0,,16.6,118.8,1014.1,82.4,7.6,109.9,9.4,3,,2021-09-14T05:48:24,2021-09-14T18:09:51,0.25,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-09-15,25,20,22.1,25,20,22.1,20.5,90.8,3,100,4.17,rain,0,0,,16.6,109.8,1015.9,89.3,7.2,97.5,8.3,3,,2021-09-15T05:48:51,2021-09-15T18:08:41,0.29,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-09-16,28,20,22.4,30.1,20,22.5,20.6,90.3,0.9,100,4.17,rain,0,0,,7.6,110.2,1014.3,89.7,6.9,104.5,9.1,4,,2021-09-16T05:49:18,2021-09-16T18:07:30,0.33,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-09-17,24,20,21.1,24,20,21.1,20.3,95.2,4.3,100,4.17,rain,0,0,,9.4,165.3,1013.5,89.3,7,173.2,15,5,,2021-09-17T05:49:46,2021-09-17T18:06:20,0.37,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-09-18,28,19,22.8,29.7,19,23,20.2,86.9,0.2,100,4.17,rain,0,0,,14.7,216.8,1014.5,65.9,7,233.3,20.1,8,,2021-09-18T05:50:13,2021-09-18T18:05:10,0.4,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-09-19,29,20,23.8,30.8,20,24.1,20.6,84,0,0,0,,0,0,,18.3,260,1016.1,62.7,8.1,238.7,20.6,8,,2021-09-19T05:50:41,2021-09-19T18:04:00,0.44,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2021-09-20,27,20,23.2,28.9,20,23.3,21.3,89.8,0.5,100,4.17,rain,0,0,,18.4,207.4,1015.8,86.3,6.7,226.5,19.4,8,,2021-09-20T05:51:08,2021-09-20T18:02:49,0.47,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-09-21,28,20,23.1,30.1,20,23.4,20.2,85.1,25.5,100,4.17,rain,0,0,,16.6,188.1,1014.8,77.8,8.3,167,14.4,5,,2021-09-21T05:51:36,2021-09-21T18:01:39,0.5,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-09-22,25,20,21.8,25,20,21.8,20,90.1,20,100,4.17,rain,0,0,,14.8,129,1014.5,87.6,7,198.1,17.2,7,,2021-09-22T05:52:04,2021-09-22T18:00:29,0.54,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-09-23,27,19,22.5,28.9,19,22.6,20,86.8,2,100,4.17,rain,0,0,,16.6,168.1,1016,66.4,7.7,220.5,19,8,,2021-09-23T05:52:32,2021-09-23T17:59:19,0.57,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-09-24,29,20,23.5,32,20,23.8,20.1,82.6,0,0,0,,0,0,,16.6,222.2,1016.3,77.3,7,215.8,18.8,7,,2021-09-24T05:53:00,2021-09-24T17:58:09,0.61,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-09-25,27,20,22.8,28.9,20,22.9,20,85.4,0,0,0,,0,0,,20.5,8.9,1015.6,70.2,7.2,177.5,15.5,6,,2021-09-25T05:53:28,2021-09-25T17:56:59,0.64,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2021-09-26,29,19,22.8,30.8,19,23,20.2,86.7,21,100,4.17,rain,0,0,,9.4,80.7,1015.7,51.4,6.8,209.1,18.2,7,,2021-09-26T05:53:56,2021-09-26T17:55:49,0.67,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-09-27,28,19,22,29.3,19,22.1,19.9,89.2,1.4,100,4.17,rain,0,0,,22.3,171.3,1016.4,68.2,7.1,132.1,11.3,5,,2021-09-27T05:54:25,2021-09-27T17:54:40,0.7,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-09-28,25.1,19,21.4,25.1,19,21.4,19.8,90.9,15.4,100,8.33,rain,0,0,,11.2,121.9,1017.8,84.1,7.6,123.1,10.5,4,,2021-09-28T05:54:54,2021-09-28T17:53:31,0.73,"Rain, Partially cloudy","Partly cloudy throughout the day with rain in the morning and afternoon.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-09-29,27,19,22.2,28.5,19,22.3,19.6,86,0.3,100,4.17,rain,0,0,,16.6,183.2,1017.9,83,7.2,155.7,13.3,6,,2021-09-29T05:55:23,2021-09-29T17:52:22,0.75,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-09-30,28,20,22.7,29.7,20,22.8,20,85.5,0,0,0,,0,0,,16.6,182.2,1018.2,86,7.1,185.7,16.2,6,,2021-09-30T05:55:52,2021-09-30T17:51:13,0.8,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2021-10-01,27,20,22.4,28.2,20,22.5,19.8,85.8,0,0,0,,0,0,,18.4,182,1017.4,82.7,7.1,155.4,13.5,6,,2021-10-01T05:56:21,2021-10-01T17:50:04,0.83,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2021-10-02,26,20,21.8,26,20,21.8,18.9,84.6,0,0,0,,0,0,,20.5,131.3,1015.2,89.3,7.8,80.7,6.9,3,,2021-10-02T05:56:51,2021-10-02T17:48:56,0.86,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2021-10-03,26,19,21.7,26,19,21.7,19.3,87.1,3.7,100,4.17,rain,0,0,,22.3,214.5,1013.2,87.7,7.6,179.6,15.5,7,,2021-10-03T05:57:21,2021-10-03T17:47:48,0.9,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-10-04,27,20,22.5,28.5,20,22.6,19.7,85.6,0.3,100,4.17,rain,0,0,,14.8,149.3,1014.3,76.2,7.1,215.8,18.7,7,,2021-10-04T05:57:51,2021-10-04T17:46:41,0.93,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-10-05,27,19,22.3,28.2,19,22.4,19.5,85.3,41,100,4.17,rain,0,0,,16.5,273.7,1016.5,72.6,6.3,205.8,17.8,7,,2021-10-05T05:58:21,2021-10-05T17:45:34,0.96,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-10-06,26,20,22.6,26,20,22.6,19.7,84.6,0,0,0,,0,0,,16.6,220.9,1015.8,82.8,7.3,202.2,17.4,8,,2021-10-06T05:58:52,2021-10-06T17:44:28,0,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2021-10-07,27,20,22.7,28.9,20,22.9,19.5,83.2,0,0,0,,0,0,,14.8,294.6,1014.3,72,7.4,221.1,18.9,8,,2021-10-07T05:59:23,2021-10-07T17:43:22,0.03,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2021-10-08,28,19,22.8,28.9,19,23,19.3,82.4,0.1,100,4.17,rain,0,0,,18.4,271.4,1013.4,59.7,7.5,224.2,19.3,8,,2021-10-08T05:59:54,2021-10-08T17:42:16,0.06,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.",rain,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-10-09,28,20,23,29.3,20,23.2,19.3,81,0,0,0,,0,0,,18.4,230.8,1013.7,64.5,6.2,217.7,18.6,8,,2021-10-09T06:00:26,2021-10-09T17:41:11,0.1,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2021-10-10,30.2,19,23.2,40.5,19,23.9,19.9,82.7,0,0,0,,0,0,,14.8,242.3,1014.4,55.7,6.1,199.8,17.2,8,,2021-10-10T06:00:58,2021-10-10T17:40:06,0.13,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2021-10-11,29,19,23.4,30.3,19,23.6,19.5,80.8,0,0,0,,0,0,,14.8,241.3,1014.6,32,6.8,168.8,14.6,6,,2021-10-11T06:01:30,2021-10-11T17:39:03,0.17,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-10-12,30,19,23.7,30,19,23.8,18.9,77.4,0,0,0,,0,0,,16.5,224.9,1014.5,33.8,7.2,221.6,19.2,8,,2021-10-12T06:02:03,2021-10-12T17:37:59,0.2,"Partially cloudy","Clearing in the afternoon.",partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-10-13,30,18,23.3,29.7,18,23.4,17.8,74.6,0,0,0,,0,0,,14.8,223.6,1014.7,32.5,7.6,200.7,17.4,7,,2021-10-13T06:02:36,2021-10-13T17:36:57,0.25,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2021-10-14,30,18,23.3,30.3,18,23.4,17.8,74.7,0,0,0,,0,0,,18.4,288.6,1014.8,28.1,7.4,206.2,17.7,7,,2021-10-14T06:03:09,2021-10-14T17:35:55,0.28,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2021-10-15,30,18,23.6,30.4,18,23.8,18.7,76.7,0,0,0,,0,0,,16.5,250.1,1013.5,29.9,7.9,156.3,13.3,5,,2021-10-15T06:03:43,2021-10-15T17:34:54,0.31,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,remote,44449099999"
Kathmandu,2021-10-16,29,19,23.5,30.3,19,23.8,19.5,79.7,0,0,0,,0,0,,14.7,213.7,1015.4,45.8,8.1,142.8,12.3,5,,2021-10-16T06:04:18,2021-10-16T17:33:53,0.35,"Partially cloudy","Partly cloudy throughout the day.",partly-cloudy-day,"44454099999,VNKT,44449099999"
Kathmandu,2021-10-17,27,19,21.9,27.9,19,22,18.9,84.2,9.9,100,8.33,rain,0,0,,13,124.3,1017.3,86.9,8,82.6,7.1,3,,2021-10-17T06:04:52,2021-10-17T17:32:53,0.38,"Rain, Partially cloudy","Partly cloudy throughout the day with rain in the morning and afternoon.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-10-18,24,20,21,24,20,21,20.1,94.4,4,100,8.33,rain,0,0,,9.4,93.2,1016,89.3,7.5,92.9,8,3,,2021-10-18T06:05:27,2021-10-18T17:31:54,0.42,"Rain, Partially cloudy","Partly cloudy throughout the day with rain in the morning and afternoon.",rain,"44454099999,VNKT,44449099999"
Kathmandu,2021-10-19,23.8,19,20.2,23.8,19,20.2,19.2,94.2,4.1,100,8.33,rain,0,0,27.7,16.6,91.8,1015.5,89.2,7.1,58.3,5.2,2,,2021-10-19T06:06:03,2021-10-19T17:30:56,0.45,"Rain, Partially cloudy","Partly cloudy throughout the day with rain in the morning and afternoon.",rain,"44454099999,VNKT,remote,44449099999"
